text,label,
dfsckhjgbdsfihjgl,spam,
fdsuhgkvdrtfsx,spam,
lishudgf,spam,
sdfczvg,spam,
hafiuwroe gsghrtf z,spam,
ihjsglbdfhugsjdfba,spam,
sdhgfukhiasdgfzuawsedtg,spam,
jkhfghiusdgfzui,spam,
siljdhghjisdflsdfuighjlsdfguhijl,spam,
sdfghbjkldfsiujhsdfuihdsfuihdsfuohiz,spam,
dftreerwe4we5werdrtfdgfh,spam,
df,spam,
fd,spam,
dfg,spam,
fgh,spam,
ghjf,spam,
jgfh,spam,
tgfhjsdf,spam,
sdf,spam,
dsf,spam,
fdg,spam,
gfh,spam,
ghj,spam,
zjhg,spam,
wer,spam,
ewr,spam,
wer,spam,
sdf,spam,
dfg,spam,
fgh,spam,
fghj,spam,
ztghj,spam,
dsf,spam,
sdf,spam,
sdf,spam,
sdf,spam,
sdf,spam,
fghj,spam,
jhg,spam,
jtzughh,spam,
ghn,spam,
fdgx,spam,
kjz,spam,
rtz,spam,
kjz,spam,
dfg,spam,
"ik,",spam,
so,not spam,
if u text u get xp,not spam,
that has a 10 sec cooldown,not spam,
ig,not spam,
"I agree with magic. Liek I can type very fast, but my accuracy is pretty trash, it would be a logic hell to define spam or not",not spam,
it should be about the same time as ,not spam,
"If we did a round up to 500 and we wanted to have the next one be 200, how would we do that?",not spam,
So now comes 70,not spam,
But we were at 69,not spam,
Yeh,not spam,
But you had won the last round,not spam,
this will be the final Test,not spam,
we'll probably have this go when there are more people here,not spam,
"like if i write him helo so he writes helo, he sends me anime -.-",not spam,
tha fuq,not spam,
all i do is make him say hi in a chat,not spam,
oh you know exactly what i mean,not spam,
!?!?!??!? what do you even mean,not spam,
jet this is not an anime server -.-,not spam,
u be a good person,not spam,
active on this server,not spam,
doing good stuff for this server,not spam,
so...,not spam,
besides rebelling for beer u can keep ,not spam,
i am a good friend and a very understanding person...,not spam,
ofc not!,not spam,
So technically he's playing zelda,not spam,
everyone hates zelda,not spam,
Well,not spam,
Sure you don't wanna give it a try ?,not spam,
u still call it draw when u make it per software right?,not spam,
cz that looks like made with software,not spam,
XD sowwwyyy,not spam,
Wait,not spam,
They're chinese,not spam,
Is your tool racist?,not spam,
"as you can see, I said 250",not spam,
but I'll let it slide,not spam,
you won,not spam,
Yeah,not spam,
It's very hard to guess,not spam,
Thought you might also have some of them at home,not spam,
those look like some kind of worry coin,not spam,
or they are the HTL machined puzzle thingy,not spam,
It is very hard to see with that light,not spam,
Those coins keep the disk in HDDs into place,not spam,
Or what char set are you using?,not spam,
"oi, keep ya normal conversations in the other chats",not spam,
"jeah, probalby",not spam,
or you can just put it in whatever Klammern are called in English after you said a Number,not spam,
test,not spam,
help,not spam,
tarot,not spam,
ok,not spam,
hi,not spam,
yes,not spam,
bro,not spam,
yass,not spam,
lol,not spam,
perhaps it already has to be really low res?,not spam,
the only emojis I have ever uploaded are some horrendous low res ones ror testing purposes,not spam,
"It crops, but id the image before was like 100ppi, it scales it down to a smaller size, but the Image has to be low res. I have no Idea of what I am talking about, I am just speculating",not spam,
perhaps,not spam,
I have no Idea,not spam,
could be,not spam,
Mine has smth over 200 I think...,not spam,
perhaps try lowering it so the image size is lowe,not spam,
r,not spam,
Well why do they say that then,not spam,
perhaps it already has to be really low res?,not spam,
the only emojis I have ever uploaded are some horrendous low res ones ror testing purposes,not spam,
"I've tried it with my tablet, phone and laptop",not spam,
None.,not spam,
"strange, sometimes for me it works",not spam,
"yeah, sometimes it works, and sometimes not",not spam,
Yeah,not spam,
It still annoys me,not spam,
Mainly cz dc brags about cropping it down for you but doesn't,not spam,
"wow, didn't know that",not spam,
I mean a emoji doesn't have to be that high res,not spam,
what is the normal file limit for discord?,not spam,
and arent photos uploaded as links?,not spam,
It's a normal.png file,not spam,
But its too big for dc,not spam,
I still don't understand. is the Image that you cannot send a normal Image or an emoji?,not spam,
oh I thought you meant that you couldn't send a normal Image,not spam,
oh so you mean a photo as emoji?,not spam,
I have no Idea of what discord could have against it,not spam,
I mean I could also do it myself,not spam,
"Btw - do you know what in hell dc has against my pics? It keeps on screaming smth about ""file too big"" till I crop it to at least yx128 or smaller...",not spam,
Alright I'll do it next break,not spam,
"that one, just without he corners around th erunes",not spam,
"no idea, I just think that it would kinda look better",not spam,
Hm ok...,not spam,
What emoji should I use then instead of that?,not spam,
and reset that the old one was better & more personal,not spam,
lit realm plans:,not spam,
Village,not spam,
another one,not spam,
Main village,not spam,
my story village,not spam,
ur story clan,not spam,
Flying islands,not spam,
Custom Dungeons,not spam,
custom weapons,not spam,
custom dimensions,not spam,
Darkblood plans:,not spam,
Flughafen ,not spam,
Insel,not spam,
XD,not spam,
oke,not spam,
btw i said i wanna upload Darkblood after Realm...,not spam,
seems like realm will take THAT long that we could lit finish Darkblood before we start realm XD,not spam,
btw sorry to disappoint u...,not spam,
but the vid where i nuke my island and rebuild it...,not spam,
is a multi video series,not spam,
i dont blow it up first episode,not spam,
but not all :/,not spam,
btw did anyone build anything 4 realm?,not spam,
i build a house 4 enemy village and made some armorstands,not spam,
was a few days ago,not spam,
not much,not spam,
"i am ""learning ph""",not spam,
so..........,not spam,
beating up child in smash and bashing on 4mil hp zombies,not spam,
you requested it,not spam,
ur fault,not spam,
well,not spam,
what are you doin?,not spam,
hi,not spam,
Magic is playing Blender,not spam,
ah jes,not spam,
what u playing on Blender?,not spam,
why do you even say helo when you are disappearing instantly..,not spam,
what's the value of it,not spam,
have to -_-,not spam,
it is,not spam,
Nah.... I'll just crop it myself,not spam,
chad gamer move,not spam,
"My chemistry teacher would have some radioactive elements, I'll ask if I can have em for some time",not spam,
Sonst noch was?,not spam,
to do: ,not spam,
"make /nuke work, both on dc and irl",not spam,
ok,not spam,
hmmmm,not spam,
let's see,not spam,
hmmmmm,not spam,
fine u can make some self roles ig,not spam,
make the verify msg first,not spam,
i made the channels,not spam,
u make the bot stuff,not spam,
@Head-Developer,not spam,
They fun,not spam,
"""late hour"" : gibt mehr xp beim ""chatten"" ",not spam,
without upsetting anyone?,not spam,
"jeah, kinda underrated",not spam,
"you can make the roles, ill think of a way to implement it without any exploits",not spam,
alright,not spam,
thx for letting me know,not spam,
hab jtz mal diskriminierung jeglicher art unter 1.d verboten...,not spam,
yeah that's why I asked...,not spam,
To make a good impression on ppl,not spam,
or something like that,not spam,
What would you do,not spam,
nah,not spam,
we are just against beeing rude in general,not spam,
if sbdy is gay and get bullied 4 it ofc we'll help him,not spam,
its just a dc server?,not spam,
i don't think sbdy will bully sbdy cz his/her skin,not spam,
besides,not spam,
how would u even know?,not spam,
"so now we need that command, only makeable when mod or admin",not spam,
basically you count to a Number specified by an Admin (maybe Mods too),not spam,
but,not spam,
the Admins can Interrupt you,not spam,
and then you have to start over,not spam,
also,not spam,
lets see how far we can count,not spam,
or the networking behind online games,not spam,
just make it about games coding,not spam,
yeah,not spam,
We were thinking about games and stuff...,not spam,
Nah,not spam,
I don't like latin,not spam,
But I like anime - therefore I'll use either japanese or chinese ,not spam,
My humble guess is that he's ill ,not spam,
cuz he was ill yesterday,not spam,
but he did come,not spam,
"Na de is voll nett, verliert aber langsam de Hoffnung in uns...",not spam,
Z.b sie : fragt uns was.,not spam,
3min von totenststille,not spam,
bro fuckin' 100+ Nachrichten,not spam,
lol,not spam,
anyway,not spam,
Is spicy melon then a higher melon rank?,not spam,
Maybe Magic coin in general,not spam,
Melon coins for melons,not spam,
Magic coin for melon??,not spam,
Doesnt fit,not spam,
So min 5 msg for a coin,not spam,
Melon coin,not spam,
10min,not spam,
for beein active in general,not spam,
and maybe 2min for that 10min very actively texting ,not spam,
there are (according to me) at least 2 ways to define that : ,not spam,
"1) ""Kingkaktus is typing"" for 10min straight",not spam,
2) sending msgs within t time for at least 10min,not spam,
I mean 10min of active texting,not spam,
what exactly is that,not spam,
Like if us 2 talk for 10 min straight,not spam,
Person to be the most online,not spam,
I think imma also make a @24/7 for the one thats on the most,not spam,
U got the most unique of all ppl on this Server,not spam,
And ur about to get another one,not spam,
Relax,not spam,
Goal of melon day:,not spam,
"Ppl should be more online to get roles with ""melon"" in their name",not spam,
Sounds wiered,not spam,
I mean what exactly are 10min of texting,not spam,
And hell yeah you're gonna measure that,not spam,
shoots @KingKaktus so he can at least also dissapear irl,not spam,
And try to actually come up with something,not spam,
Then you can activate it again,not spam,
That's why I would remove it in general...,not spam,
#NOME?,not spam,
ye not for just chatting normally,not spam,
but for chatting on the day of the melon ,not spam,
first of all - no melon coins...,not spam,
and 2nd of all - I though you don't like the idea of rewards for chatting? ,not spam,
@KingKaktus,not spam,
-_- don't freaking dissapear without saying anything - thats very disrespecting,not spam,
I ' d change the System ot exchange,not spam,
and the time system ,not spam,
still,not spam,
melons have NONE of that,not spam,
beer bad,not spam,
melons good,not spam,
the fuq,not spam,
u complain about sugar in a melon while consuming alc in beer?!?!,not spam,
tf,not spam,
what woud u change?,not spam,
(want it to be monthly tho),not spam,
worst reason ever heard,not spam,
then add @beer aswell,not spam,
I don't like the idea of it,not spam,
concept is stupid,not spam,
it never even existed,not spam,
there will be new year presents anyways,not spam,
probably also summer ones,not spam,
and more idk jet,not spam,
make personal roles,not spam,
same thing,not spam,
its the day of the melon,not spam,
great day,not spam,
and the fact that u drink beer and drive cars doesnt change it,not spam,
you even said it urself,not spam,
so you're thirsty for melons?,not spam,
at least ask the community -_-,not spam,
@KingKaktus,not spam,
btw in 2d is not rly day of the melon...,not spam,
such days are annually,not spam,
yeah good question,not spam,
and then you reject good ideas sayin they're useless/stupid...,not spam,
got a funny idea of how to get em,not spam,
u need to write msg during the Day of the Melon to get ...,not spam,
"idk ""melon coins""",not spam,
welll,not spam,
we did,not spam,
ig its so irrelevant u forgot,not spam,
XD,not spam,
and my lightning design was kinda :/,not spam,
"but when i made em both green, it became the watermelon",not spam,
then we made fun of it,not spam,
then it became a meme,not spam,
what happened at the 21.11. on this server?,not spam,
that we both made a meme of,not spam,
for a reason,not spam,
what happened at the 21.11.?,not spam,
wrong - there's no day where nobody blows anything up ,not spam,
"je, Ich senke aber, dass sie meinen Keyboard nicht komplett kompatibel sind, und da dann einen Keycap halt nicht das richtige ist, da im set keines mit einer art Liste ist",not spam,
"aber ich könnte einfach einse der andere Keycaps die übrigbleiben dafür verwenden, und man würde es niht merken",not spam,
but it's literally worse than a normal speaker,not spam,
jeah thats gaming,not spam,
to play music but famcy,not spam,
"I mean, Its only from the 70s",not spam,
why not,not spam,
why do you need a record player,not spam,
"just some old stuff, just cod the player to work, so I haven't looked at it a whole leot. But I have a lot of classical, some italian stuff,",not spam,
and an Album from michael jackson,not spam,
noice,not spam,
but also,not spam,
why,not spam,
"yeh, so from the 70s is retro enough",not spam,
why,not spam,
Retro,not spam,
jeah but it is famcy,not spam,
ok lol,not spam,
"aber des is nur was du hast, nicht warum",not spam,
very good,not spam,
yes,not spam,
anyway,not spam,
what,not spam,
then why did you say anyway,not spam,
cuz that conversation is over lol,not spam,
k,not spam,
I am very bored,not spam,
I am very bored too,not spam,
then lets talk,not spam,
about something,not spam,
what,not spam,
how many keyboards do you have?,not spam,
not a lot,not spam,
a good one and like 3 horrible membrane ines,not spam,
oof lol,not spam,
which one do you have,not spam,
as a good one,not spam,
I know you told me but I forgot lol,not spam,
a heavily modified razer huntsman,not spam,
with clicky pruple switches,not spam,
interesting,not spam,
why that,not spam,
Hi...,not spam,
why not,not spam,
just interesting to know,not spam,
hello!,not spam,
how u doing?,not spam,
I'm doin fine,not spam,
do you have a proper mechanical Keyboard?,not spam,
very good question,not spam,
(or an optical),not spam,
"I mean, optical does in fact count as mechanical",not spam,
"yeh, but still",not spam,
do you already know what keycaps you want?,not spam,
"no, but I don't really need to know rn",not spam,
I won't get them for at least a year or so,not spam,
"why not, Its always a good thing to know",not spam,
"so if I pick some out now, they might be out of stock in a year",not spam,
or,not spam,
there could be some that I prefer by then,not spam,
just to know the aethstetics,not spam,
"oh, I have no idea",not spam,
I don't really know what would work well with black,not spam,
everything,not spam,
"I have a black frame, and I still have black keaycaps, but just about everything should look good on it",not spam,
what were you thinking of ?,not spam,
I'll see once I actually have it,not spam,
and then I can see what colours would work with that black,not spam,
it being the keyboard,not spam,
you could always repaint the chassis at some later point,not spam,
or buy a new one,not spam,
but painting is cheaper,not spam,
"but youll have to buy one some day, so It doesn't matterr a whole lot",not spam,
"now that I think of it, a mod that you could do as soon as you get the keyboard, is scrubbing off the redragon logo using an eraser",not spam,
so that it looks cleaner,not spam,
I (kinda) made Friends,not spam,
(most of it was done in 2021) ,not spam,
but like late 2021,not spam,
I made 2 Friends from Germany,not spam,
I did a lot last year,not spam,
now that I think about it,not spam,
Nice,not spam,
thank you for reminding me,not spam,
of all the wonderful things I did this year,not spam,
lebst du?,not spam,
(Spoiler alert: no),not spam,
hliuü,not spam,
zumindest nicht mehr lange,not spam,
that's why,not spam,
help,not spam,
no,not spam,
er sitzt grad neben mir,not spam,
und schreibt,not spam,
und deshalb,not spam,
muss ich ihn,not spam,
help,not spam,
still no lol,not spam,
XD,not spam,
Finish him,not spam,
How you doing?,not spam,
"oh right, I still have to crop it, will do that now",not spam,
"I haev made it smaller, I just think discord blew it up",not spam,
"I am still home, and still will be for the whole week",not spam,
with your upgraded version of my - i dunno - product,not spam,
nice,not spam,
thx again,not spam,
btw are you in school rn?,not spam,
or still ill?,not spam,
iklu,spam,
dfg,spam,
ased,spam,
hkjz,spam,
fb,spam,
jgh,spam,
sdf,spam,
fgh,spam,
tre,spam,
gzhkuj,spam,
hgfd,spam,
fsdg,spam,
awse,spam,
xdsfv,spam,
dgfs,spam,
fgjh,spam,
jzgth,spam,
tuzi,spam,
zertd,spam,
sfd,spam,
sdf,spam,
sdfg,spam,
fjgh,spam,
kiuz,spam,
oziu,spam,
zrte,spam,
twer,spam,
hfdg zrtv,spam,
tvaer,spam,
dbhrts,spam,
njtzf,spam,
bgtesr,spam,
rcEQ,spam,
Wcrwea,spam,
avtr,spam,
svtera,spam,
sbrzt,spam,
dtuzn,spam,
zutid,spam,
sdfgafsgd,spam,
srtzh,spam,
 druznt,spam,
muzdt,spam,
tarwbe ,spam,
awetbr ,spam,
dfg ,spam,
hfgds ,spam,
wer,spam,
we,spam,
rt4wt,spam,
TKMZUUU,spam,
VRTBWEE,spam,
svrte,spam,
gsdfhgasdhufgawsedfujasdhfihjasdgf,spam,
hzusdgfuzisdgfzukagfzuigasdzui,spam,
783wtr 76zwetr67wetr67wetgr,spam,
huagsdfuhkgasduhkfsduhzfgzi,spam,
sadgfzuktiuzfewasrwearfztu,spam,
o9q7w3eutr87t6oerwq,spam,
ligudfjsygouzifdhsa,spam,
fweaogit8zafsdukgh,spam,
fedwsgiuzfwdseiuaoghz45678i,spam,
237832478342zughdfhjsdf,spam,
fdgiuzsy h7832trfsgd23r 8764gufo dsaü,spam,
ugfiwe r37896o2wq,spam,
bhivdsft8z7ewrp,spam,
fsdglzuh ,spam,
fdsgiuafgduiz,spam,
asoudügfthuioh,spam,
oawuejrmsfkgdi,spam,
awetr98p7oulfdsjbhgk,spam,
gcvjhlbkiu,spam,
üiugjfdsa,spam,
fgrh,spam,
sad,spam,
dfgh,spam,
hgjk,spam,
iou,spam,
zitu,spam,
uztr,spam,
erw,spam,
sd,spam,
xcv,spam,
dfv,spam,
fgh,spam,
gjf,spam,
jzgh,spam,
ztuiz,spam,
tmju,spam,
#,spam,
nhz,spam,
bgt,spam,
bgr,spam,
vfd,spam,
cdsv,spam,
dcs,spam,
xsa,spam,
xa,spam,
AEWR,spam,
SER,spam,
DF,spam,
GV,spam,
GHJB,spam,
JLKHJOKP,spam,
gsdjhkgfjhghjlghlj,spam,
sjkldhfijhlasdghflihzuasdgflziuh,spam,
fgddrasswefa,spam,
iujzoiuu98io,spam,
njbhjbjhcv,spam,
#NOME?,spam,
tzrert5we5we45re54e,spam,
ihugiuhguzfg,spam,
7z6rt7tr65t7r,spam,
tzdrftdrtfdr,spam,
dfgsdgfyfdgh,spam,
fhkjlkzuiflziu,spam,
poooooop,spam,
tzr,spam,
fgggggggggggggggg,spam,
ssssssssssssssss,spam,
fdgggggggggggggggggg,spam,
dfgdfgdfgdgfdfgdfgdfg,spam,
jdgthjtzdhtjzd,spam,
#sdfdgfsdfgs,spam,
awerteterterterterterdxcvvxcy,spam,
rzeger,spam,
fdgsfghdshfgsgera,spam,
vdcfyvdcyxfvdsagsdf,spam,
hrtfgjzhtdgkjtzukjutz,spam,
dscvfdbfgjhzhjgm,spam,
ysexsde,spam,
cftfvgtbhg,spam,
"a<wxdftrfvghj,hjmkmjztrfhgngfdes",spam,
uyhg,spam,
yt,spam,
fg,spam,
tgf,spam,
g,spam,
vt,spam,
fg,spam,
v,spam,
t,spam,
fg,spam,
f,spam,
d,spam,
d,spam,
f,spam,
df,spam,
r,spam,
d,spam,
f,spam,
r,spam,
fe,spam,
df,spam,
hjgvghgvgtfg,spam,
f,spam,
gf,spam,
fg,spam,
fr,spam,
df,spam,
d,spam,
f,spam,
s,spam,
ds,spam,
d,spam,
sh,spam,
gf,spam,
dg,spam,
fc,spam,
f,spam,
cvc,spam,
f,spam,
dxf,spam,
c,spam,
d,spam,
c,spam,
fdx,spam,
c,spam,
d,spam,
xc,spam,
dx,spam,
fdxc,spam,
f,spam,
dxcx,spam,
oof,not spam,
sie sind fast(auüer meiner alte reli lehrering) sehr nett,not spam,
wir MüSSEN unsere irl names verwenden...,not spam,
regligionslehrer zühlen nie dazu,not spam,
(also jtz ausgenommen von servisch orthodok reli unterricht aber der lehrer ist mehr dein bro als dein actual lehrer also zühlt das ned...) ,not spam,
meint jtz eig weihnachtszeit aber auch im gesamten jahr,not spam,
dieser moment wenn de geschichte lehrerin in der 2. gsk stunde endlich als erste und einzige mit euch kahoot spielt... ,not spam,
als erste im ganzen jahr?,not spam,
... wir machn grad nen kahoot account für sie weil sie keinen hat...,not spam,
btw wird de csv datei automatisch geupdated?,not spam,
will that change anything tho?,not spam,
it now is recording any messages we say to a database,not spam,
nice,not spam,
"hello, ai training database that I can see update in real time",not spam,
how is everyone @here,not spam,
I'm fine,not spam,
nice to hear,not spam,
I'm :/,not spam,
why?,not spam,
Cz I'm sick once again,not spam,
...,not spam,
I am sick too,not spam,
what are you all doing?,not spam,
Me too(a bit...),not spam,
verkühlt?,not spam,
you could search a better hobby,not spam,
??,not spam,
How would that help,not spam,
then your hobby isn't decreasing your mental health,not spam,
Gefühlt eher Lungen krebs... Muss alle paar Minuten extremst laut keuch-husten,not spam,
is exact was ich habe,not spam,
I'm still in school buddy x_x,not spam,
then just go home,not spam,
XD,not spam,
Its big brain time,not spam,
yes,not spam,
.... If it would be that easy...,not spam,
can't you just leave?,not spam,
you will give a entschuldigung later,not spam,
Well yes... But before that my teacher would have to cut my hand off or smth...,not spam,
why that,not spam,
So that I have a real reason to ask for a leave,not spam,
lol in my school we just leave,not spam,
Ye well last week 60% of my classmates did that and they got verbally attacked next day,not spam,
"well, thats not optimal",not spam,
Yeh,not spam,
could go worse,not spam,
Well,not spam,
What are you doin,not spam,
Except dc,not spam,
you still havent anwsered the wuestion on waht keyb,not spam,
?,not spam,
oard you have made by ,not spam,
accidentally pressend enter,not spam,
looking at the .csv file getting bigger while talking to jou,not spam,
Alright...,not spam,
and? what keyboard do you have?,not spam,
Laptop keyboard,not spam,
I thought you had a mechanical onew,not spam,
It's at home,not spam,
then what keyboard do you have at hokme?,not spam,
You think I have the name usw in my head?,not spam,
atleast what swithces,not spam,
you have got to know that,not spam,
why not,not spam,
Have never opened it... I have 2 other keyboards at home & play with them,not spam,
U dont have to open it to know the switches,not spam,
u just have to know the feeeeel,not spam,
It feels like a gentle press ig,not spam,
"do you alteas know itf it is linear, clicky or tactile",not spam,
Clicky,not spam,
"if you don't, then tell me waht switches you have when you get home",not spam,
ok,not spam,
I will,not spam,
good,not spam,
"tell me the company that made them, I am really interested",not spam,
wow alright,not spam,
thanks,not spam,
and kitty still isn't online,not spam,
Never seen anyone that interested into my keyboard,not spam,
"well, I am interested in keyboards, and kitty would ask these questions too (just if he were online)",not spam,
Call him,not spam,
how,not spam,
Dc/phone?,not spam,
Idk,not spam,
(if you want to),not spam,
I do not have his number,not spam,
Sad,not spam,
ill call him on dc,not spam,
to see if he comes online,not spam,
Good,not spam,
WE NEED MORE DATA,not spam,
Hi mark,not spam,
he doesn't anwser,not spam,
we will have to write this database all on our own,not spam,
but atleast we already have 86 entries,not spam,
who is him,not spam,
Ah wait,not spam,
Nvm,not spam,
Cut,not spam,
why that,not spam,
I read he instead of we...,not spam,
oh,not spam,
are you still in school?,not spam,
please remeber not to write emojis in the chat it pumps out al lot of errors,not spam,
it doesn't crash but it spits out errors,not spam,
Why,not spam,
the code spits out errors,not spam,
Ye but why,not spam,
Doesn't the msg contain the emoji still as text?,not spam,
the characters are not compatible with the windows-1252 encoding,not spam,
Ok...,not spam,
Is there any emojis i can use?,not spam,
no,not spam,
"I mean you can use emojis, but then the message won't register",not spam,
Ok...,not spam,
What about chinese?,not spam,
try,not spam,
nope,not spam,
errors upon errors,not spam,
Sad,not spam,
but atleast it doesn't crashz,not spam,
What about french letters?,not spam,
that should work,not spam,
üjü we züpü,not spam,
work perfectly,not spam,
its just that vscode cannot disply them,not spam,
and do not spam you are making my data dirty,not spam,
I cleaned the data,not spam,
"That was no spam, was it?",not spam,
"well, by typing only one character you usually are spamming",not spam,
"not always, but usually",not spam,
What does your program say?,not spam,
on what,not spam,
Is it spam or not,not spam,
the database is still strongly unbalanced and will nearly always say taht it isn't spam,not spam,
I need more spam data,not spam,
Okk,not spam,
that is why I was going to ask you to make a spam channel accessible for everyone where you are allowed to spam,not spam,
Ah alr,not spam,
jeah without counting the data we are creating rn I have 2x so much not spam as spam,not spam,
Ok,not spam,
You'd need more spam samples,not spam,
"yes,",not spam,
The problem is you cant guarantee that #spam only contains spam...,not spam,
"I already have inputted a whole lot of keysmash, but it still isn't eniugh",not spam,
"we add to the rules, that you can only spam in #spam, and that no non-spam is allowed",not spam,
and I am pretty sure blag will spam so much that I will have data for the rest of my life,not spam,
XD,not spam,
Well yeh but who will check on that...,not spam,
I would have to manually clean the data anyways,not spam,
Rly? Why,not spam,
"the discord bot doesn't save the data in the same file as the ai uses to train, so that I have to copy it over, so that I am SURE that my data is clean",not spam,
I just want really clean data,not spam,
"I can always make the ai better, but the most time consuming part is the database, and I don't want do redo that",not spam,
Alright,not spam,
when does school end in your school,not spam,
It did,not spam,
10min ago,not spam,
"oh, are you in the bus",not spam,
No,not spam,
waiting?,not spam,
Going to hbf by foot,not spam,
"oh, thats why you are on the phone",not spam,
Ya see that?,not spam,
"It displays to me just as ""online""",not spam,
"yeah, I see a green phone on your pfp, and not a green ball",not spam,
Ah kk,not spam,
Well,not spam,
<:hacker:1045130622659727460>,not spam,
was eating with my family,not spam,
taht emoji actually works,not spam,
tf?,not spam,
"and please don't ping, as it saves my id in the database",not spam,
oh frik,not spam,
"I think it is because python reads it as a a string of charakters, not a singel charakter",not spam,
"I will shut the bot down and merge the databae, tahnks for providing me with data",not spam,
Hi,not spam,
hello,not spam,
have you seen what your swithces are,not spam,
What what are?,not spam,
Brown,not spam,
Ahhh,not spam,
keyboard,not spam,
that is very sad,not spam,
"have you ever had a problem where you had a py module installed and working, but now it is still installed and I can acces is by command line, but vscode can't find the module?",not spam,
bot is online again,not spam,
"jes, emojis bad",not spam,
they destroy everything,not spam,
we can go on talking now,not spam,
What did I do again this time?,not spam,
emoji,not spam,
I think,not spam,
Ah.,not spam,
the bot crashed and didn't record all this data,not spam,
Can't you make it restart automatically,not spam,
The error was a character it could not encode,not spam,
Or ignore the error in the first place with try/catch?,not spam,
how would I do that,not spam,
I dunno,not spam,
But that,not spam,
I could try to do that,not spam,
just add a on_error = ignore,not spam,
will try,not spam,
ok,not spam,
"Nah but if the error occurs it just prints ""error occured"" or smth",not spam,
I mean for the csv encoding,not spam,
Yeh it doesnt save the msg with the emoji then ig,not spam,
Just prints,not spam,
or you could try and make it able to save the emojis,not spam,
I would just need to change the encoding,not spam,
it literally 1 word in the code,not spam,
but I would need to find out what encoding that is,not spam,
Dc encoding,not spam,
right now it is using windows-1252,not spam,
and utf-8,not spam,
what encoding supports emjis,not spam,
Lot's of em,not spam,
But not all on dc ig,not spam,
"tell me one, ill try",not spam,
Kenn i ned auswendig x_x,not spam,
:(,not spam,
"So guys, what's your social security number",not spam,
I bet I have the highest,not spam,
I am pretty sure mine is the best,not spam,
What's yours?,not spam,
tell me yours first,not spam,
Nah I asked first,not spam,
ain't that an American thing?,not spam,
it is really good data for a public database,not spam,
idk,not spam,
Y know ecard?,not spam,
"we have it to, its just that it is pretty useless in eu",not spam,
XD yee,not spam,
ah ok lol,not spam,
yeee,not spam,
but that one's somethin' different,not spam,
"Well then, tell me",not spam,
not until you tell me yours,not spam,
ANYWAY,not spam,
?,not spam,
ANYWAY,not spam,
Alright...,not spam,
Wat you guys wanna talk about,not spam,
no idea,not spam,
What's your favorite game rn,not spam,
saturnalia or satisfactory,not spam,
Hearts of Iron 4,not spam,
